Router Name,Country Code,Bandwidth (KB/s),Uptime (Hours),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Platform,Flag - Hibernating,Flag - Bad Exit,FirstSeen,ASName,ASNumber,ConsensusBandwidth,OrAddress
00000000,MY,4,300,175.140.19.59,175.140.19.59,80,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.5.12 on Linux,0,0,2015-07-10,TMNET-AS-AP TM Net- Internet Service Provider- MY,4788,62,None
00000000000X,US,112,1553,24.186.109.4,ool-18ba6d04.dyn.optonline.net,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.4.27 on Linux,0,0,2014-12-27,CABLE-NET-1 - Cablevision Systems Corp.-US,6128,1070,None
000000s2,DE,528,339,82.211.19.143,server5.4pc.eu,9001,9030,0,1,1,0,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2015-08-28,ACCELERATED-IT Accelerated IT Services GmbH-DE,31400,2190,None
00000s1,DE,461,280,82.211.19.129,server1.dxxmail.com,9001,9030,0,1,1,0,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2015-10-30,ACCELERATED-IT Accelerated IT Services GmbH-DE,31400,1590,None
0000Middleman,US,1,754,198.252.121.79,host-198-252-121-79.brdband.com,9029,9030,0,0,0,0,0,1,1,1,1,Tor 0.2.7.6 on Windows 7,0,0,2014-07-05,JC-39-AS - JEFFERSON CO. CABLE- INC.-US,54934,13,None
0000Userzap,DE,36,128,46.38.250.39,threepwood.userzap.de,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2013-11-23,NETCUP-AS netcup GmbH-DE,197540,219,[2a02:8204:d62b::1]:9001
0000xyz,ES,11,355,85.48.94.174,174.pool85-48-94.dynamic.orange.es,9001,9030,0,0,0,0,0,1,1,1,1,Tor 0.2.4.27 on Linux,0,0,2016-02-29,UNI2-AS France Telecom Espana SA- ES,12479,12,None
00brilliano001,US,177,133,192.155.83.101,brilliano.com,9001,None,0,0,1,0,0,1,1,1,0,Tor 0.2.6.9 on Linux,0,0,2013-06-18,HURRICANE - Hurricane Electric- Inc.-US,6939,987,None
00startmorenodes00,FR,292,2673,92.243.30.208,xvm-30-208.ghst.net,4443,4453,0,0,1,0,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2014-12-27,GANDI-AS GANDI SAS-FR,29169,1470,None
0snowden4president,CA,700,3450,192.99.11.200,ns506578.ip-192-99-11.net,443,80,0,0,1,0,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2015-06-04,OVH OVH SAS-FR,16276,2880,None
0x007f0101,FR,2559,2661,195.154.82.88,195-154-82-88.rev.poneytelecom.eu,443,8443,0,0,1,1,0,1,1,1,1,Tor 0.2.4.27 on Linux,0,0,2014-03-25,AS12876 ONLINE S.A.S.-FR,12876,8380,None
0x00d6d99a632e792d,US,4,424,66.24.84.54,cpe-66-24-84-54.stny.res.rr.com,9001,9030,0,0,0,0,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2016-04-07,RR-NYSREGION-ASN-01 - Time Warner Cable Internet LLC- US,11351,10,None
0x00tor,US,1,1538,64.71.152.147,li14-147.telefan.net,2443,None,0,0,1,0,0,1,1,1,0,Tor 0.2.4.27 on Linux,0,0,2015-12-11,HURRICANE - Hurricane Electric- Inc.-US,6939,35,None
0x0101,DE,6,16,89.15.153.140,x590f998c.dyn.telefonica.de,9035,9040,0,0,1,0,0,0,1,1,1,Tor 0.2.4.27 on Linux,0,0,2014-12-10,HANSENET - DE,13184,66,None
0x0143,LV,1387,3665,185.61.148.199,185.61.148.199,9040,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2016-01-03,MAKONIX Makonix SIA-LV,52173,7680,None
0x04,DE,9100,1459,46.101.143.173,ahri.kura.io,443,80,0,0,1,1,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2016-01-12,DIGITALOCEAN-GERMANY Digital Ocean- Inc.-DE,201229,48200,None
0x0420,SE,1177,641,83.254.70.55,c83-254-70-55.bredband.comhem.se,443,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2014-04-10,COMHEM-SWEDEN Com Hem AB- SE,39651,6800,None
0x24D,FR,2525,3309,5.196.74.215,ns3003396.ip-5-196-74.eu,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.5.12 on Linux,0,0,2016-01-06,OVH OVH SAS-FR,16276,9550,None
0x3d001,FR,375,186,91.121.23.100,0x3d.lu,8001,8030,0,0,1,0,0,1,1,1,1,Tor 0.2.9.0-alpha-dev on Linux,0,0,2016-05-31,OVH OVH SAS-FR,16276,2190,None
0x3d002,FR,33594,1436,91.121.23.100,0x3d.lu,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.9.0-alpha-dev on Linux,0,0,2014-04-22,OVH OVH SAS-FR,16276,166000,None
0x3d003,LU,4130,24,85.93.199.49,vodsl-8241.vo.lu,19001,19030,0,0,1,1,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2014-08-20,AS9008 Luxembourg- LU,9008,21500,None
0x3d084,NL,868,132,46.249.42.253,46.249.42.253,80,None,0,0,1,0,0,1,1,1,0,Tor 0.2.7.6 on Linux,0,0,2015-12-17,SERVERIUS-AS Serverius Holding B.V.-NL,50673,4400,None
0x3d088,NL,1437,132,5.178.70.94,pfsense02.steambay.nl,80,None,0,0,1,0,0,1,1,1,0,Tor 0.2.7.6 on Linux,0,0,2016-04-28,SERVERIUS-AS Serverius Holding B.V.- NL,50673,3960,None
0x42FF,DE,2252,23,188.40.166.29,ghostshell.subsignal.org,9001,None,0,0,1,1,0,1,1,1,0,Tor 0.2.7.6 on Linux,0,0,2015-07-27,HETZNER-AS Hetzner Online GmbH-DE,24940,11700,None
0x7ffd,DE,81,4729,81.169.152.100,schmitz-linneweber.de,9001,None,0,0,1,0,0,1,1,1,0,Tor 0.2.4.27 on Linux,0,0,2014-04-23,STRATO STRATO AG-DE,6724,443,None
0x90dkrelay02,GB,37,1027,176.58.96.199,hapy.0x90.dk,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2013-10-02,TELECITY-LON - GB,15830,213,None
0xANTIMON,FR,1814,3697,5.196.227.161,161.ip-5-196-227.eu,443,None,0,0,1,1,0,1,1,1,0,Tor 0.2.7.6 on Linux,0,0,2015-02-11,OVH OVH SAS-FR,16276,10200,None
0xARSENIC,CA,807,503,198.50.145.207,207.ip-198-50-145.net,443,None,0,0,1,1,0,1,1,1,0,Tor 0.2.7.6 on Linux,0,0,2015-02-03,OVH OVH SAS-FR,16276,2230,None
0xbadc0ffe,DE,30,55,91.37.186.121,p5B25BA79.dip0.t-ipconnect.de,9001,9003,0,0,1,0,0,0,1,1,1,Tor 0.2.8.2-alpha on Linux,0,0,2016-04-23,DTAG Internet service provider operations- DE,3320,243,None
